Year,Travel status,Jurisdiction,Count,Legend,Notes
2010 - 2024,All,MH,1,1 to 4,
2010 - 2024,All,MP,4,1 to 4,
2010 - 2024,All,AK,24,5 to 49,
2010 - 2024,All,AR,40,5 to 49,
2010 - 2024,All,DE,27,5 to 49,
2010 - 2024,All,GU,33,5 to 49,
2010 - 2024,All,ID,30,5 to 49,
2010 - 2024,All,KS,44,5 to 49,
2010 - 2024,All,KY,48,5 to 49,
2010 - 2024,All,ME,23,5 to 49,
2010 - 2024,All,MS,13,5 to 49,
2010 - 2024,All,MT,29,5 to 49,
2010 - 2024,All,ND,6,5 to 49,
2010 - 2024,All,NE,47,5 to 49,
2010 - 2024,All,NH,29,5 to 49,
2010 - 2024,All,NM,32,5 to 49,
2010 - 2024,All,OK,33,5 to 49,
2010 - 2024,All,SD,21,5 to 49,
2010 - 2024,All,VT,40,5 to 49,
2010 - 2024,All,WV,14,5 to 49,
2010 - 2024,All,WY,9,5 to 49,
2010 - 2024,All,AL,56,50 to 249,
2010 - 2024,All,CO,190,50 to 249,
2010 - 2024,All,CT,114,50 to 249,
2010 - 2024,All,DC,65,50 to 249,
2010 - 2024,All,FM,58,50 to 249,
2010 - 2024,All,GA,176,50 to 249,
2010 - 2024,All,IA,69,50 to 249,
2010 - 2024,All,IN,111,50 to 249,
2010 - 2024,All,LA,85,50 to 249,
2010 - 2024,All,MD,207,50 to 249,
2010 - 2024,All,MI,194,50 to 249,
2010 - 2024,All,MN,220,50 to 249,
2010 - 2024,All,MO,72,50 to 249,
2010 - 2024,All,NC,220,50 to 249,
2010 - 2024,All,NV,56,50 to 249,
2010 - 2024,All,OH,141,50 to 249,
2010 - 2024,All,OR,107,50 to 249,
2010 - 2024,All,PW,72,50 to 249,
2010 - 2024,All,RI,70,50 to 249,
2010 - 2024,All,SC,84,50 to 249,
2010 - 2024,All,TN,95,50 to 249,
2010 - 2024,All,UT,68,50 to 249,
2010 - 2024,All,WI,166,50 to 249,
2010 - 2024,All,AS,661,250+,
2010 - 2024,All,AZ,297,250+,
2010 - 2024,All,CA,2350,250+,
2010 - 2024,All,FL,4246,250+,
2010 - 2024,All,HI,395,250+,
2010 - 2024,All,IL,425,250+,
2010 - 2024,All,MA,327,250+,
2010 - 2024,All,NJ,612,250+,
2010 - 2024,All,NY,1799,250+,
2010 - 2024,All,PA,316,250+,
2010 - 2024,All,PR,39048,250+,
2010 - 2024,All,TX,830,250+,"In 2023, the county of acquisition for the Dallas, TX case was Val Verde County."
2010 - 2024,All,VA,272,250+,
2010 - 2024,All,VI,568,250+,
2010 - 2024,All,WA,280,250+,
