city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,1990,18,1990-04-30,0.1226,0.103725,0.1984833,0.1776167,12.42,-1.2756763217903493,-1.2476016216509411,-1.7398852787748091,-1.2666276688421492,-1.0743306864191748,32.0,-1.6455482245301887,12.42,-1.6511296714436103,0.3704904903054774,25.4428571429,6.9,29.4,20.0,16.0,4
sj,1990,19,1990-05-07,0.1699,0.142175,0.1623571,0.1554857,22.82,-0.7328170067100432,-0.641869455070429,-0.7430695366452045,-0.3365991056001666,-0.6749772243371965,17.94,-0.46214855849364583,22.82,-0.7612191367141171,-0.17436763783736867,26.7142857143,6.37142857143,31.7,22.2,8.6,5
sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,-0.2482513089228543,-0.2648320858292668,0.2185426757398983,-0.6747913104154243,0.04385900741039176,26.1,0.922707795861847,34.54,0.20440857585591227,-0.32571711788175745,26.7142857143,6.48571428571,32.2,22.8,41.4,4
sj,1990,21,1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,-0.07337045534324203,0.038033997460989295,0.13794512055962918,0.08614115041892957,-0.19575306983880433,13.9,0.4154761759597549,15.36,0.08943063913025211,-0.05328805381033343,27.4714285714,6.77142857143,33.3,23.3,4.0,3
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,0.37840508292912833,0.4150713658368781,0.4695994285675551,0.5088814064380257,0.20360039224317403,12.2,0.45179750762054904,7.52,0.4409079091214211,1.1877776825409365,28.9428571429,9.37142857143,35.0,23.9,5.8,6
sj,1990,23,1990-06-04,0.0557,0.17485,0.2543143,0.1817429,9.58,0.4731322114555028,0.5016045324912018,0.48905401089715383,0.9316216624571219,0.6828245467415662,26.49,0.2837057634730959,9.58,0.44277746909637394,-0.7494956619975683,28.1142857143,6.94285714286,34.4,23.9,39.1,2
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.48,0.11365490169745283,0.03185305624395787,0.4983180981840033,0.00159309921513918,0.3633417770759563,38.6,0.90708117641917,3.48,0.4567991686795095,-0.8705752460246036,27.4142857143,6.77142857143,32.2,23.3,29.7,4
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,0.44034205109052965,0.297633497424059,0.930024543701797,-0.5902432592115858,0.9224366239907169,30.0,1.313795622660837,151.12,0.9428847548388994,-1.8694818143006144,28.3714285714,7.68571428571,33.9,22.8,21.1,5
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,0.42941199848567707,0.32235725883079624,0.8308988152448242,0.6779775088457026,0.3633417770759563,37.51,1.1343006697612497,19.32,0.8204285783442923,-1.2035441021307332,28.3285714286,7.38571428571,33.9,22.8,21.1,10
sj,1990,27,1990-07-02,0.0812,0.12155,0.1606833,0.2025667,14.41,0.9188354971472257,0.9466322473317085,1.0078428730202658,0.8470736112533315,1.162048701239913,28.4,0.6946436203757458,14.41,1.0045802330963,-0.9311150380381207,28.3285714286,6.51428571429,33.9,24.4,1.1,6
sj,1990,28,1990-07-09,0.192875,0.08235,0.1919429,0.1529286,22.27,0.3735472812046624,0.3532619614546141,0.6122663656513896,0.4243333552342353,0.6029538543251524,43.72,0.7495479589093896,22.27,0.5773857852645973,-0.6284160779705331,27.5571428571,7.15714285714,31.7,21.7,63.7,8
sj,1990,29,1990-07-16,0.2916,0.2118,0.3012,0.2806667,59.17,0.5047079209642944,0.4892426517878332,0.802180145628376,0.5934294576418642,0.04385900741039176,40.9,0.9497376240566583,59.17,0.7858417192984016,-0.083557949806498,28.1285714286,6.9,32.8,23.9,12.2,2
sj,1990,30,1990-07-23,0.1505667,0.1717,0.2269,0.2145571,16.48,0.4124096933001286,0.39034760443009164,0.5594610710346368,0.4243333552342353,-0.1158823774223905,42.53,0.535421038637047,16.48,0.5269076666606183,-0.8100354540110865,28.1142857143,6.35714285714,31.7,22.8,32.6,6
